"match_id","home_team","home_score","away_score","away_team","date"
"167","Hurricanes",30,15,"Cats","1998-04-03 13:00:00"
"168","Stormers",34,3,"Brumbies","1998-04-03 13:00:00"
"169","Highlanders",29,11,"Chiefs","1998-04-04 13:00:00"
"170","Reds",33,18,"Blues","1998-04-04 13:00:00"
"171","Crusaders",31,20,"Bulls","1998-04-05 14:00:00"
"172","Waratahs",51,18,"Sharks","1998-04-05 14:00:00"
"173","Crusaders",38,26,"Brumbies","1998-04-11 13:00:00"
"174","Reds",19,14,"Stormers","1998-04-11 13:00:00"
"175","Sharks",30,18,"Cats","1998-04-11 13:00:00"
"176","Chiefs",37,25,"Bulls","1998-04-11 13:00:00"
"177","Blues",47,25,"Waratahs","1998-04-13 13:00:00"
"178","Blues",34,24,"Bulls","1998-04-17 13:00:00"
"179","Crusaders",37,25,"Stormers","1998-04-18 13:00:00"
"180","Reds",17,17,"Waratahs","1998-04-18 13:00:00"
"181","Cats",35,36,"Chiefs","1998-04-18 13:00:00"
"182","Highlanders",29,8,"Hurricanes","1998-04-19 13:00:00"
"183","Crusaders",40,24,"Highlanders","1998-04-24 13:00:00"
"184","Brumbies",29,32,"Hurricanes","1998-04-24 13:00:00"
"185","Reds",28,15,"Bulls","1998-04-25 13:00:00"
"186","Sharks",52,18,"Chiefs","1998-04-25 13:00:00"
"187","Blues",74,28,"Stormers","1998-04-26 13:00:00"
"188","Hurricanes",17,39,"Crusaders","1998-05-01 13:00:00"
"189","Waratahs",23,22,"Highlanders","1998-05-01 13:00:00"
"190","Brumbies",24,27,"Blues","1998-05-02 13:00:00"
"191","Bulls",12,8,"Sharks","1998-05-02 13:00:00"
"192","Chiefs",26,7,"Stormers","1998-05-02 13:00:00"
"193","Cats",16,20,"Reds","1998-05-03 13:00:00"
"194","Chiefs",35,15,"Brumbies","1998-05-08 13:00:00"
"195","Waratahs",36,32,"Hurricanes","1998-05-09 13:00:00"
"196","Cats",25,34,"Crusaders","1998-05-09 13:00:00"
"197","Stormers",15,36,"Highlanders","1998-05-09 13:00:00"
"198","Sharks",30,20,"Reds","1998-05-10 13:00:00"
"199","Chiefs",21,33,"Waratahs","1998-05-15 13:00:00"
"200","Bulls",26,31,"Highlanders","1998-05-16 13:00:00"
"201","Brumbies",23,16,"Reds","1998-05-16 13:00:00"
"202","Cats",41,7,"Stormers","1998-05-16 13:00:00"
"203","Hurricanes",34,45,"Blues","1998-05-16 13:00:00"
"204","Sharks",20,32,"Crusaders","1998-05-16 13:00:00"
"205","Blues",37,31,"Highlanders","1998-05-23 13:00:00"
"206","Crusaders",36,32,"Sharks","1998-05-24 13:00:00"
"207","Blues",13,20,"Crusaders","1998-05-30 13:00:00"
"208","Cats",33,22,"Brumbies","1999-02-26 13:00:00"
"209","Crusaders",48,3,"Chiefs","1999-02-26 13:00:00"
"210","Sharks",13,13,"Waratahs","1999-02-27 13:00:00"
"211","Bulls",19,42,"Stormers","1999-02-27 13:00:00"
"212","Reds",11,0,"Hurricanes","1999-02-27 13:00:00"
"213","Highlanders",19,13,"Blues","1999-02-27 13:00:00"
"214","Sharks",21,16,"Brumbies","1999-03-05 13:00:00"
"215","Blues",16,22,"Crusaders","1999-03-05 13:00:00"
"216","Cats",10,39,"Waratahs","1999-03-06 13:00:00"
"217","Chiefs",17,19,"Reds","1999-03-06 13:00:00"
"218","Highlanders",65,23,"Bulls","1999-03-06 13:00:00"
"219","Hurricanes",22,24,"Stormers","1999-03-07 13:00:00"
"220","Reds",19,18,"Brumbies","1999-03-12 13:00:00"
"221","Highlanders",46,14,"Stormers","1999-03-12 13:00:00"
"222","Cats",20,36,"Sharks","1999-03-13 13:00:00"
"223","Waratahs",36,30,"Chiefs","1999-03-13 13:00:00"
"224","Hurricanes",37,18,"Bulls","1999-03-13 13:00:00"
"225","Brumbies",37,15,"Stormers","1999-03-19 13:00:00"
"226","Crusaders",18,18,"Hurricanes","1999-03-19 13:00:00"
"227","Waratahs",39,23,"Bulls","1999-03-20 13:00:00"
"228","Blues",12,12,"Reds","1999-03-20 13:00:00"
"229","Cats",28,29,"Highlanders","1999-03-20 13:00:00"
"230","Sharks",32,8,"Highlanders","1999-03-26 13:00:00"
"231","Waratahs",18,28,"Stormers","1999-03-26 13:00:00"
"232","Chiefs",18,29,"Blues","1999-03-26 13:00:00"
"233","Cats",43,27,"Hurricanes","1999-03-27 13:00:00"
"234","Crusaders",23,36,"Reds","1999-03-27 13:00:00"
"235","Brumbies",73,9,"Bulls","1999-03-27 13:00:00"
"236","Brumbies",21,28,"Crusaders","1999-04-02 13:00:00"
"237","Stormers",35,14,"Reds","1999-04-03 13:00:00"
"238","Cats",57,24,"Bulls","1999-04-03 13:00:00"
"239","Waratahs",20,21,"Blues","1999-04-03 13:00:00"
"240","Chiefs",16,27,"Highlanders","1999-04-03 13:00:00"
"241","Sharks",18,34,"Hurricanes","1999-04-03 13:00:00"
"242","Bulls",7,17,"Reds","1999-04-09 13:00:00"
"243","Highlanders",23,7,"Crusaders","1999-04-09 13:00:00"
"244","Stormers",35,19,"Sharks","1999-04-10 13:00:00"
"245","Brumbies",13,16,"Chiefs","1999-04-10 13:00:00"
"246","Blues",23,7,"Hurricanes","1999-04-10 13:00:00"
"247","Hurricanes",21,24,"Chiefs","1999-04-16 13:00:00"
"248","Sharks",29,0,"Bulls","1999-04-17 13:00:00"
"249","Reds",19,20,"Highlanders","1999-04-17 13:00:00"
"250","Brumbies",27,16,"Waratahs","1999-04-17 13:00:00"
"251","Blues",24,11,"Cats","1999-04-17 13:00:00"
"252","Stormers",28,19,"Crusaders","1999-04-18 13:00:00"
"253","Highlanders",15,23,"Waratahs","1999-04-23 13:00:00"
"254","Bulls",28,30,"Crusaders","1999-04-24 13:00:00"
"255","Blues",6,12,"Sharks","1999-04-24 13:00:00"
"256","Chiefs",44,42,"Cats","1999-04-24 13:00:00"
"257","Hurricanes",13,21,"Brumbies","1999-04-25 13:00:00"
"258","Chiefs",32,19,"Sharks","1999-04-30 13:00:00"
"259","Stormers",37,23,"Blues","1999-05-01 13:00:00"
"260","Waratahs",13,30,"Reds","1999-05-01 13:00:00"
"261","Highlanders",9,8,"Brumbies","1999-05-01 13:00:00"
"262","Crusaders",58,38,"Cats","1999-05-02 13:00:00"
"263","Hurricanes",13,7,"Waratahs","1999-05-07 13:00:00"
"264","Stormers",16,9,"Chiefs","1999-05-08 13:00:00"
"265","Bulls",21,19,"Blues","1999-05-08 13:00:00"
"266","Crusaders",34,29,"Sharks","1999-05-08 13:00:00"
"267","Reds",22,12,"Cats","1999-05-08 13:00:00"
"268","Bulls",31,39,"Chiefs","1999-05-14 13:00:00"
"269","Reds",34,13,"Sharks","1999-05-14 13:00:00"
"270","Blues",16,22,"Brumbies","1999-05-14 13:00:00"
"271","Stormers",16,28,"Cats","1999-05-15 13:00:00"
"272","Waratahs",22,38,"Crusaders","1999-05-15 13:00:00"
"273","Hurricanes",21,19,"Highlanders","1999-05-15 13:00:00"
"274","Stormers",18,33,"Highlanders","1999-05-22 13:00:00"
"275","Reds",22,28,"Crusaders","1999-05-22 13:00:00"
"276","Highlanders",19,24,"Crusaders","1999-05-29 13:00:00"
"277","Brumbies",15,18,"Blues","2000-02-25 13:00:00"
"278","Hurricanes",40,23,"Sharks","2000-02-25 13:00:00"
"279","Stormers",22,15,"Waratahs","2000-02-26 13:00:00"
"280","Bulls",19,23,"Cats","2000-02-26 13:00:00"
"281","Highlanders",50,13,"Reds","2000-02-26 13:00:00"
"282","Chiefs",24,27,"Crusaders","2000-02-27 13:00:00"
"283","Highlanders",27,20,"Sharks","2000-03-03 13:00:00"
"284","Bulls",13,33,"Waratahs","2000-03-04 13:00:00"
"285","Cats",22,18,"Stormers","2000-03-04 13:00:00"
"286","Hurricanes",43,25,"Reds","2000-03-04 13:00:00"
"287","Blues",25,32,"Chiefs","2000-03-05 13:00:00"
"288","Brumbies",51,10,"Sharks","2000-03-10 13:00:00"
"289","Crusaders",32,20,"Blues","2000-03-10 13:00:00"
"290","Stormers",19,19,"Bulls","2000-03-11 13:00:00"
"291","Waratahs",51,16,"Cats","2000-03-11 13:00:00"
"292","Highlanders",35,19,"Hurricanes","2000-03-11 13:00:00"
"293","Highlanders",33,31,"Cats","2000-03-17 13:00:00"
"294","Stormers",15,29,"Brumbies","2000-03-18 13:00:00"
"295","Reds",19,27,"Crusaders","2000-03-18 13:00:00"
"296","Waratahs",19,26,"Sharks","2000-03-18 13:00:00"
"297","Chiefs",19,24,"Hurricanes","2000-03-18 13:00:00"
"298","Blues",31,17,"Waratahs","2000-03-24 13:00:00"
"299","Bulls",19,28,"Brumbies","2000-03-25 13:00:00"
"300","Reds",37,17,"Chiefs","2000-03-25 13:00:00"
"301","Hurricanes",29,23,"Cats","2000-03-25 13:00:00"
"302","Crusaders",47,31,"Stormers","2000-03-26 13:00:00"
"303","Hurricanes",14,25,"Blues","2000-03-31 13:00:00"
"304","Bulls",14,14,"Sharks","2000-04-01 13:00:00"
"305","Reds",31,16,"Waratahs","2000-04-01 13:00:00"
"306","Brumbies",64,0,"Cats","2000-04-01 13:00:00"
"307","Crusaders",42,36,"Highlanders","2000-04-01 13:00:00"
"308","Chiefs",25,28,"Stormers","2000-04-02 14:00:00"
"309","Brumbies",34,15,"Highlanders","2000-04-07 13:00:00"
"310","Hurricanes",28,22,"Crusaders","2000-04-07 13:00:00"
"311","Sharks",27,28,"Cats","2000-04-08 13:00:00"
"312","Reds",34,15,"Bulls","2000-04-08 13:00:00"
